titulo,empresa,localizacao,link,termo_busca,fonte,score,compatibilidade,matches
Banco TalentosEstágio,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2817434/banco-talentos-estagio,Estagio TI,Vagas.com,2,MINIMA,nivel:estagiario
Estágiode Telecomunicações (Core),Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2815525/estagio-de-telecomunicacoes-core,Estagio TI,Vagas.com,2,MINIMA,nivel:estagiario
Estágioem Service Desk,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2818112/estagio-em-service-desk,Estagio TI,Vagas.com,2,MINIMA,nivel:estagiario
Estagiário(a) em Análise de Dados e Power Bi,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2819740/estagiario-a-em-analise-de-dados-e-power-bi,Estagio TI,Vagas.com,2,MINIMA,nivel:estagiario
EstagiarioNível Superior - Administrativo Comercial,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2814021/estagiario-nivel-superior-administrativo-comercial,Estagio TI,Vagas.com,4,BAIXA,nivel:estagiario; area:TI
EstágioNível Superior e  Técnico| Montes Claros - MG,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2813913/estagio-nivel-superior-e-tecnico-montes-claros-mg,Estagio TI,Vagas.com,5,BAIXA,tecnico; nivel:estagiario
Jovem Aprendiz - João Pessoa - PB,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2816909/jovem-aprendiz-joao-pessoa-pb,Estagio TI,Vagas.com,2,MINIMA,nivel:estagiario
Auxiliar Administrativo,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2818190/auxiliar-administrativo,Estagio TI,Vagas.com,2,MINIMA,area:TI
JovemAprendiz,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2802371/jovem-aprendiz,Jovem Aprendiz TI,Vagas.com,2,MINIMA,nivel:estagiario
JovemAprendiz,Nao informado,Nao informado,https://www.vagas.com.br/vagas/v2814374/jovem-aprendiz,Jovem Aprendiz TI,Vagas.com,2,MINIMA,nivel:estagiario
IT Apprentice,Catalyte,"South Chicago, Ilinóis, Estados Unidos",https://www.linkedin.com/jobs/view/it-apprentice-at-catalyte-4414005782?position=1&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=TOfGaQa%2F89hXa7%2F82IFLkw%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
Cybersecurity Training Center Trainee,Cybertection LLC,"Stevensville, Maryland, Estados Unidos",https://www.linkedin.com/jobs/view/cybersecurity-training-center-trainee-at-cybertection-llc-4400946383?position=2&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=GBrlqGUmFVjucv1tuZDCJw%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,nivel:estagiario
"Information Technology Apprenticeship, Cyber Security",Kennesaw State University,"Kennesaw, Geórgia, Estados Unidos",https://www.linkedin.com/jobs/view/information-technology-apprenticeship-cyber-security-at-kennesaw-state-university-4413649730?position=3&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=AdssFvTNFfeWJX2IfSi1Fg%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
System Support Technician Apprentice,IBM,"Rochester, Minesota, Estados Unidos",https://www.linkedin.com/jobs/view/system-support-technician-apprentice-at-ibm-4413313844?position=4&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=YDfD%2BUxI0V2shheKou8FsQ%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
Jr. IT/ Cyber Security Analyst (Apprentice),"Tech-Marine Business, Inc. (TMB)","Washington, Distrito de Colúmbia, Estados Unidos",https://www.linkedin.com/jobs/view/jr-it-cyber-security-analyst-apprentice-at-tech-marine-business-inc-tmb-4391575454?position=5&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=t%2BebIxgUNRnweWtKLBPQ6w%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
"Information Technology Apprenticeship, Cyber Security",Inside Higher Ed,"Kennesaw, Geórgia, Estados Unidos",https://www.linkedin.com/jobs/view/information-technology-apprenticeship-cyber-security-at-inside-higher-ed-4418476483?position=6&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=XBQxz5Gz%2B8w%2FEyZjP3cmSw%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
"Information Technology Apprenticeship, IT Service Desk Operations",Kennesaw State University,"Kennesaw, Geórgia, Estados Unidos",https://www.linkedin.com/jobs/view/information-technology-apprenticeship-it-service-desk-operations-at-kennesaw-state-university-4413200000?position=7&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=uqfQ4L8p%2BPhBHOLw4Fx9%2BA%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
Cybersecurity Analyst Apprentice,IBM,"Nova York, Estados Unidos",https://www.linkedin.com/jobs/view/cybersecurity-analyst-apprentice-at-ibm-4417968815?position=8&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=MlxrpBeQI3SJSBgRmn2cZw%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
"Global Tech Apprentice Program – Tech Analyst - Jersey City, NJ and New York, NY",Bank of America,"Nova York, Nova York, Estados Unidos",https://www.linkedin.com/jobs/view/global-tech-apprentice-program-%E2%80%93-tech-analyst-jersey-city-nj-and-new-york-ny-at-bank-of-america-4425637485?position=9&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=3vOb1Ovb7bSeeWVqSV%2F9Qw%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
"Global Tech Apprentice Program – Tech Analyst - Jersey City, NJ and New York, NY",Bank of America,"Jersey City, Nova Jersey, Estados Unidos",https://www.linkedin.com/jobs/view/global-tech-apprentice-program-%E2%80%93-tech-analyst-jersey-city-nj-and-new-york-ny-at-bank-of-america-4425634535?position=10&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=xcSq2lSsMnfd120xCS8FaA%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
"Information Technology Apprenticeship, IT Service Desk Operations",Inside Higher Ed,"Kennesaw, Geórgia, Estados Unidos",https://www.linkedin.com/jobs/view/information-technology-apprenticeship-it-service-desk-operations-at-inside-higher-ed-4413976029?position=11&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=hy1zhJcLqW4kuEuzKnQe3g%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
IT Professional Trainee I,City of Santa Fe Springs,"Eureka, Nevada, Estados Unidos",https://www.linkedin.com/jobs/view/it-professional-trainee-i-at-city-of-santa-fe-springs-4422215998?position=12&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=zIrizTaKSLdaNP1WVjFY%2Fg%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,nivel:estagiario
Intern Trainee - NY,Atlas Technica,"Nova York, Nova York, Estados Unidos",https://www.linkedin.com/jobs/view/intern-trainee-ny-at-atlas-technica-4422181203?position=13&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=hWWvX33DIYY%2FAZNp8jpCTA%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,nivel:estagiario
Desktop Support – Level 1 Technician (MAC-D),ABI RESOURCES,"Nova York, Nova York, Estados Unidos",https://www.linkedin.com/jobs/view/desktop-support-%E2%80%93-level-1-technician-mac-d-at-abi-resources-4418978002?position=14&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=vbjaCVwFHrag02FA1N%2FZ1A%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
Intern - IT,Goodwill Industries of South Florida,"Miami, Flórida, Estados Unidos",https://www.linkedin.com/jobs/view/intern-it-at-goodwill-industries-of-south-florida-4424257738?position=15&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=2Zfg8KvCmnaI6yBX%2BQ4Xtg%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
Technology Apprentice,Catalyte,"Chicago, Ilinóis, Estados Unidos",https://www.linkedin.com/jobs/view/technology-apprentice-at-catalyte-4414001954?position=16&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=MgI1tAbe%2F%2BPbuw1UeOvGvQ%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
IT Computer Lab Apprentice,Liberty University,"Lynchburg, Virgínia, Estados Unidos",https://www.linkedin.com/jobs/view/it-computer-lab-apprentice-at-liberty-university-4417757452?position=17&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=tfUb1dOjIKaE3bAu3LxQAw%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
IT Trainee,Charles IT,"Middletown, Connecticut, Estados Unidos",https://www.linkedin.com/jobs/view/it-trainee-at-charles-it-4413343851?position=18&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=ItUc8o20bR5cJUs5kpevBA%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,nivel:estagiario
IT Helpdesk Technician,Prime Communications,"Sugar Land, Texas, Estados Unidos",https://www.linkedin.com/jobs/view/it-helpdesk-technician-at-prime-communications-4421226600?position=19&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=hfxRbSbYzaa2WoG11zgtuQ%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
Student Technical Support Specialist (Part-Time),The Church of Jesus Christ of Latter-day Saints,"Salt Lake City, Utah, Estados Unidos",https://www.linkedin.com/jobs/view/student-technical-support-specialist-part-time-at-the-church-of-jesus-christ-of-latter-day-saints-4424460706?position=20&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=r3fwKGYhg1gM0fFXDkdfig%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
IT Support Tech,Jabil,"São Petersburgo, Flórida, Estados Unidos",https://www.linkedin.com/jobs/view/it-support-tech-at-jabil-4406224434?position=21&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=nBwOnp5n%2FnCrPPNVeaXSvw%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
IT Help Desk Tier 1,DEX Imaging,"Tampa, Flórida, Estados Unidos",https://www.linkedin.com/jobs/view/it-help-desk-tier-1-at-dex-imaging-4425637687?position=22&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=7b675UCrkspiAGsjrJu0LA%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
IT Support Agent,WheelHouse IT,"Fort Lauderdale, Flórida, Estados Unidos",https://www.linkedin.com/jobs/view/it-support-agent-at-wheelhouse-it-4400193924?position=23&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=uJX06SrJBIOroH%2BQ9xDu%2FA%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
IT Apprentice,Michelin,"Asheboro, Carolina do Norte, Estados Unidos",https://www.linkedin.com/jobs/view/it-apprentice-at-michelin-4425856070?position=24&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=An2AoqpeCylq49XSdbHl6Q%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
IT OPS Intern,New York City Department of Consumer and Worker Protection,Nova Iorque e Região,https://www.linkedin.com/jobs/view/it-ops-intern-at-new-york-city-department-of-consumer-and-worker-protection-4413581809?position=25&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=CiDh%2FUlJYEI4MjJBYBd2CQ%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
IT Support Specialist (Part-Time),Sol de Janeiro,Nova Iorque e Região,https://www.linkedin.com/jobs/view/it-support-specialist-part-time-at-sol-de-janeiro-4388509300?position=26&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=mj7hq6Np%2Br4Qp5aWLAdB5w%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
Remote IT Help Desk Associate,Talentoma,"Nova York, Estados Unidos",https://www.linkedin.com/jobs/view/remote-it-help-desk-associate-at-talentoma-4424672493?position=27&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=fwFWXmPhUHbJO%2Bx9wCqRrA%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
Graduate Training Program,Black Box,"Plano, Texas, Estados Unidos",https://www.linkedin.com/jobs/view/graduate-training-program-at-black-box-4399397181?position=28&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=wElDrbB8Wcpop%2F8dDzpEQw%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
Cyber Engineering Apprentice — Paid Career-Change Program (No Tech Background Required),Bletchley Fellowship,Estados Unidos,https://www.linkedin.com/jobs/view/cyber-engineering-apprentice-%E2%80%94-paid-career-change-program-no-tech-background-required-at-bletchley-fellowship-4423136894?position=29&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=T9mSlPM%2FEhIKXxaGeoyLLw%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
Information Technology Specialist,US Navy,São Francisco e Região,https://www.linkedin.com/jobs/view/information-technology-specialist-at-us-navy-4413809938?position=30&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=%2B%2BRQ1%2FKZlfXnwhYdTlC%2BNQ%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
IT Internship,CAMPBELL COMPANIES,"Salt Lake City, Utah, Estados Unidos",https://www.linkedin.com/jobs/view/it-internship-at-campbell-companies-4422652864?position=31&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=paGU5aJHgZXYCK0ZoSo4aw%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
Technology Intern,BWBR,"Saint Paul, Minesota, Estados Unidos",https://www.linkedin.com/jobs/view/technology-intern-at-bwbr-4400601574?position=32&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=UECs3GTCuC2PbGQBUJ0%2B1w%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
IT Internship,Wheeler Machinery Co.,"West Valley City, Utah, Estados Unidos",https://www.linkedin.com/jobs/view/it-internship-at-wheeler-machinery-co-4422689597?position=33&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=DbqRdFeqh%2Bc8bHMMmlx4lw%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
Techzone Technician Trainee,Associated Students UCLA,"Los Angeles, Califórnia, Estados Unidos",https://www.linkedin.com/jobs/view/techzone-technician-trainee-at-associated-students-ucla-4377062657?position=34&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=0%2BPqpbKilw15AdTx0KA4bw%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,nivel:estagiario
Remote IT Support Assistant,Talentoma,"Nova York, Estados Unidos",https://www.linkedin.com/jobs/view/remote-it-support-assistant-at-talentoma-4424689317?position=35&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=3ym9fhpF%2Fuagf0ppCkE5Yw%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
Software Engineering Apprentice,Allied Benefit Systems,"Chicago, Ilinóis, Estados Unidos",https://www.linkedin.com/jobs/view/software-engineering-apprentice-at-allied-benefit-systems-4406683530?position=36&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=qP44B8FYhbi5kgYCynsK9A%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
Work Based Learning Program Data Center Operations Technician,Amazon Web Services (AWS),"Óregon, Estados Unidos",https://www.linkedin.com/jobs/view/work-based-learning-program-data-center-operations-technician-at-amazon-web-services-aws-4424931438?position=37&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=KHrwnZZ309Oid6dAXRmvTg%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
Technology Support Intern,Wayzata Public Schools,"Mineápolis, Minesota, Estados Unidos",https://www.linkedin.com/jobs/view/technology-support-intern-at-wayzata-public-schools-4426348351?position=38&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=mDQeHgPM7EvpOSho4TORuQ%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
Data Center Technician- Part Time,Microsoft,Estados Unidos,https://www.linkedin.com/jobs/view/data-center-technician-part-time-at-microsoft-4417719476?position=39&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=SraGf016wIHNLnUXjBUDqQ%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
Student Technical Support Specialist (Part-Time),A Igreja de Jesus Cristo dos Santos dos Últimos Dias,"Salt Lake City, Utah, Estados Unidos",https://www.linkedin.com/jobs/view/student-technical-support-specialist-part-time-at-a-igreja-de-jesus-cristo-dos-santos-dos-%C3%BAltimos-dias-4424121725?position=40&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=Ozc2sJlVqkTOQY%2Fo2CXqXg%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
Personal Computer Support Technician - High School Intern,Leidos,"Baltimore, Maryland, Estados Unidos",https://www.linkedin.com/jobs/view/personal-computer-support-technician-high-school-intern-at-leidos-4420192398?position=41&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=YtiCL9tAQa1RpB21ZrwefA%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
Desktop Support Technician,University of Miami,"Coral Gables, Flórida, Estados Unidos",https://www.linkedin.com/jobs/view/desktop-support-technician-at-university-of-miami-4421213788?position=42&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=s%2FQlsI8v%2FMIyP3fYf1aenA%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
Junior IT Technician,CNR Technologies,"Woodstock, Geórgia, Estados Unidos",https://www.linkedin.com/jobs/view/junior-it-technician-at-cnr-technologies-4410374936?position=43&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=coBY9m7V7QDZyFonyACkDQ%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
Student Trainee (Information Technology) - CES Intern,Defense Information Systems Agency,"Fort George G. Meade, Maryland, Estados Unidos",https://www.linkedin.com/jobs/view/student-trainee-information-technology-ces-intern-at-defense-information-systems-agency-4426250087?position=44&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=w4iKgGF08HigmJI1tx8c7w%3D%3D,Jovem Aprendiz TI,LinkedIn,4,BAIXA,nivel:estagiario; area:TI
Help Desk Technician (2026 - 2027 School Year),Tupelo Public School District,"Midland, Texas, Estados Unidos",https://www.linkedin.com/jobs/view/help-desk-technician-2026-2027-school-year-at-tupelo-public-school-district-4403600854?position=45&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=4zj%2Bp9V%2FnykAeHxyiBRPaQ%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
IT Support Agent,WheelHouse IT,"Orlando, Flórida, Estados Unidos",https://www.linkedin.com/jobs/view/it-support-agent-at-wheelhouse-it-4395850887?position=46&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=Nl9HO1p9Soo1%2BGor3WxRKA%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
Help Desk Technician,New Caney Independent School District,"Porter, Texas, Estados Unidos",https://www.linkedin.com/jobs/view/help-desk-technician-at-new-caney-independent-school-district-4425971524?position=47&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=j%2BR7%2B46T%2FHwBkRiXlWw13Q%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
Information Technology Intern,ServiceSource,"Oakton, Virgínia, Estados Unidos",https://www.linkedin.com/jobs/view/information-technology-intern-at-servicesource-4407212152?position=48&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=5do3D8051C%2FzLBXa28NdGg%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
Aprendiz Administrativo,Grupo Technocoat,"Costa Mesa, Califórnia, Estados Unidos",https://www.linkedin.com/jobs/view/aprendiz-administrativo-at-grupo-technocoat-4417122766?position=49&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=Q4SryQyC96zSkRgO6F3cPA%3D%3D,Jovem Aprendiz TI,LinkedIn,4,BAIXA,nivel:estagiario; area:TI
IT Support Technician,PCS Wireless,"Miami Lakes, Flórida, Estados Unidos",https://www.linkedin.com/jobs/view/it-support-technician-at-pcs-wireless-4423991521?position=50&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=q%2BVk3tJIpZWklhRy%2FNyyyQ%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
Programa Jovem Aprendiz - Rio Verde I GO,MBRF,"Rio Verde, Arizona, Estados Unidos",https://www.linkedin.com/jobs/view/programa-jovem-aprendiz-rio-verde-i-go-at-mbrf-4377480283?position=51&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=jsJxbN6pMnwkXZi4sYbTEA%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,nivel:estagiario
Accelerated Software Engineer Apprenticeship - Bletchley Fellowship,Flatiron School,Estados Unidos,https://www.linkedin.com/jobs/view/accelerated-software-engineer-apprenticeship-bletchley-fellowship-at-flatiron-school-4421179454?position=52&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=GQJbz%2FvNuHbdLnCpoSK3yw%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
Application Developer (Current students and those seeking entry level role) (Part Time),Loudoun County Public Schools,"Leesburg, Virgínia, Estados Unidos",https://www.linkedin.com/jobs/view/application-developer-current-students-and-those-seeking-entry-level-role-part-time-at-loudoun-county-public-schools-4416830947?position=53&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=V%2F9lLbEXZfgGPp1nzP3zOw%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
Cyber + IT Intern I - US,Rackspace Technology,"San António, Texas, Estados Unidos",https://www.linkedin.com/jobs/view/cyber-%2B-it-intern-i-us-at-rackspace-technology-4414295664?position=54&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=R2UdLrvhMIVZOosDVdsQdQ%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
Work Based Learning Program Data Center Operations Technician,Amazon Web Services (AWS),"Umatilla, Óregon, Estados Unidos",https://www.linkedin.com/jobs/view/work-based-learning-program-data-center-operations-technician-at-amazon-web-services-aws-4372990454?position=55&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=HCtw6sTrb5faXgBsThZDZQ%3D%3D,Jovem Aprendiz TI,LinkedIn,2,MINIMA,area:TI
Computer Technician Intern (paid internship),NETSYNC,"Houston, Texas, Estados Unidos",https://www.linkedin.com/jobs/view/computer-technician-intern-paid-internship-at-netsync-4413366821?position=56&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=Sjh8XRCP7Ujqo40WfLougg%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
IT Support Intern- Fall 2026,Grow Financial Federal Credit Union,Tampa e Região,https://www.linkedin.com/jobs/view/it-support-intern-fall-2026-at-grow-financial-federal-credit-union-4410307606?position=57&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=HXSAxsBZdJRRWDG7Lz15Gg%3D%3D,Jovem Aprendiz TI,LinkedIn,0,MINIMA,
